127.0.0.1, 2018-07-03 12:03:03, POST, /admin/default/edit/pluralsight/views/basics/helloworld.html, HTTP/1.1, 200, 0.065000
127.0.0.1, 2018-07-03 12:03:06, GET, /pluralsight/basics/helloworld, HTTP/1.1, 200, 0.103000
127.0.0.1, 2018-07-03 12:03:06, GET, /pluralsight/static/images/favicon.ico, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-07-03 12:03:15, POST, /admin/default/edit/pluralsight/views/basics/helloworld.html, HTTP/1.1, 200, 0.064000
127.0.0.1, 2018-07-03 12:03:18, GET, /pluralsight/basics/helloworld, HTTP/1.1, 200, 0.151000
127.0.0.1, 2018-07-03 12:03:19, GET, /pluralsight/static/images/favicon.ico, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-07-03 12:03:59, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.057000
127.0.0.1, 2018-07-03 12:03:59, GET, /pluralsight/appadmin/hooks, HTTP/1.1, 200, 0.227000
127.0.0.1, 2018-07-03 12:04:59, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.067000
127.0.0.1, 2018-07-03 12:04:59, GET, /pluralsight/appadmin/hooks, HTTP/1.1, 200, 0.223000
127.0.0.1, 2018-07-03 12:05:59, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.084000
127.0.0.1, 2018-07-03 12:05:59, GET, /pluralsight/appadmin/hooks, HTTP/1.1, 200, 0.258000
127.0.0.1, 2018-07-03 12:06:59, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.100000
127.0.0.1, 2018-07-03 12:06:59, GET, /pluralsight/appadmin/hooks, HTTP/1.1, 200, 0.350000
127.0.0.1, 2018-07-03 12:07:49, GET, /admin/default/design/pluralsight, HTTP/1.1, 200, 0.428000
127.0.0.1, 2018-07-03 12:07:50, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-07-03 12:07:53, GET, /admin/default/edit/pluralsight/controllers/basics.py, HTTP/1.1, 200, 0.071000
127.0.0.1, 2018-07-03 12:07:53, GET, /favicon.ico, HTTP/1.1, 400, 0.010000
